Name,Lab 2 Scope,
File,C:\Users\MECH467_TA\Desktop\2025w1_Mech467_Lab2\Lab2_S2\Gyan\ramp_lli.csv,
Starttime of export,134076224256560000,Friday, November 14, 2025,11:33:45.656
Endtime of export,134076224356808000,Friday, November 14, 2025,11:33:55.680


TriggerGroup,Count,ReleaseTime,Comment,
Start traj,0,0,,
Timed Stop,0,10000,,

Name,RefTraj [mm],Enc1_ActPos [mm],Enc2_ActPos [mm],Enc1_ActVelo [mm/s],Enc2_ActVelo [mm/s],Vout [V]

0,0,0,-0.00030000000000000003,-8.4605859780957343E-07,0,0.11195926407036594
0.2,0,0,-0.00030000000000000003,-8.2946921353879743E-07,0,0.11195926407036594
0.4,0,0,-0.00030000000000000003,-8.1320511131254649E-07,0,0.11195926407036594
0.6,0.001,0,-0.00030000000000000003,-7.9725991305151616E-07,0,0.1960139352135446
0.8,0.002,0,-0.00030000000000000003,-7.8162736573678051E-07,0,0.2604222659074189
1,0.003,0,-0.00030000000000000003,-7.6630133895762788E-07,0,0.31015801322776149
1.2,0.004,0,-0.00030000000000000003,-7.5127582250747827E-07,0,0.3489357552438217
1.4,0.005,0,-0.00030000000000000003,-7.3654492402693943E-07,0,0.37952967051364528
1.6,0.006,0,-0.00030000000000000003,-7.2210286669307789E-07,0,0.404011613909697
1.8,0.007,0,-0.00030000000000000003,-7.0794398695399789E-07,0,0.423928920083565
2,0.008,0.0001,-0.00030000000000000003,0.0098032275058951429,0,0.44043719339529597
2.2,0.0090000000000000011,0.0001,-0.00030000000000000003,0.009611007358720728,0,0.45439948013910159
2.4,0.01,0.0002,-0.00030000000000000003,0.019226477802667379,0,0.458054866762164
2.6,0.011000000000000001,0.00030000000000000003,-0.00030000000000000003,0.028653409610458216,0,0.47066029698271428
2.8,0.012,0.0004,-0.00030000000000000003,0.037895499618096289,0,0.49358256196161232
3,0.013000000000000001,0.0004,-0.00030000000000000003,0.037152450605976751,0,0.49228556459933026
3.2,0.014,0.0005,-0.00030000000000000003,0.0462278927509576,0,0.49278691181777257
3.4,0.015,0.00060000000000000006,-0.0002,0.055125385049958439,0.0098039215686274526,0.50303679362221443
3.6,0.016,0.0007,-0.0001,0.06384841671564552,0.019415609381007306,0.50391962465765072
3.8,0.017,0.0008,0,0.072400408544750508,0.028838832726477751,0.506048944983251
4,0.018000000000000002,0.0008,0.0001,0.070980792690931868,0.038077286986742891,0.50910918769011326
4.2,0.019,0.00090000000000000008,0.0002,0.079392934010717522,0.047134595085042051,0.51286467622601828
4.4,0.02,0.00090000000000000008,0.00030000000000000003,0.077836209814428944,0.056014308906903967,0.58537153545363063
4.6,0.021000000000000005,0.00090000000000000008,0.0004,0.076310009621989153,0.0647199106930431,0.5740859469061097
4.8,0.022000000000000002,0.001,0.0005,0.084617656492146212,0.0732548144049442,0.57553292731571837
5,0.023,0.001,0.00060000000000000006,0.082958486757006081,0.081622367063670792,0.57824690670224177
5.2,0.024,0.0011,0.0007,0.091135771330398116,0.08982585006242233,0.57350165871670233
5.4,0.025,0.0011,0.0008,0.089348795421958935,0.097868480453355222,0.57983319726753679
5.6,0.026000000000000002,0.0012000000000000001,0.0008,0.097400779825449937,0.095949490640544338,0.57778967068319043
5.8,0.027000000000000003,0.0013000000000000002,0.00090000000000000008,0.10529488218181367,0.10387204964759249,0.5861389505336505
6,0.028,0.0014,0.00090000000000000008,0.11303419821746435,0.10183534279175734,0.68294743377964329
6.2,0.029,0.0015,0.00090000000000000008,0.12062176295829839,0.099838571364467971,0.66126392018612057
6.4,0.03,0.0015,0.001,0.11825663035127293,0.1076848738867333,0.64653989452300387
6.6,0.031000000000000003,0.0016,0.001,0.12574179446203229,0.10557340577130715,0.63701346111171064
6.8,0.032,0.0017000000000000001,0.001,0.13308019064905127,0.1035033389914776,0.63977424092685542
7,0.033,0.0018000000000000002,0.001,0.14027469671475615,0.10147386175635058,0.63506394516015963
