Name,Lab 2 Scope,
File,C:\Users\MECH467_TA\Desktop\2025w1_Mech467_Lab2\Lab2_S2\Gyan\step_kp.csv,
Starttime of export,134076221129480000,Friday, November 14, 2025,11:28:32.948
Endtime of export,134076221229480000,Friday, November 14, 2025,11:28:42.948


TriggerGroup,Count,ReleaseTime,Comment,
Start traj,0,0,,
Timed Stop,0,10000,,

Name,RefTraj [mm],Enc1_ActPos [mm],Enc2_ActPos [mm],Enc1_ActVelo [mm/s],Enc2_ActVelo [mm/s],Vout [V]

0,0,0,0,0,0,1.16648898983118E-320
0.2,0,0,0,0,0,1.16648898983118E-320
0.4,0,0,0,0,0,1.16648898983118E-320
0.6,0,0,0,0,0,1.16648898983118E-320
0.8,0,0,0,0,0,1.16648898983118E-320
1,0,0,0,0,0,1.16648898983118E-320
1.2,0,0,0,0,0,1.16648898983118E-320
1.4,0,0,0,0,0,1.16648898983118E-320
1.6,0,0,0,0,0,1.16648898983118E-320
1.8,0,0,0,0,0,1.16648898983118E-320
2,0,0,0,0,0,1.16648898983118E-320
2.2,0,0,0,0,0,1.16648898983118E-320
2.4,0,0,0,0,0,1.16648898983118E-320
2.6,0,0,0,0,0,1.16648898983118E-320
2.8,0,0,0,0,0,1.16648898983118E-320
3,0,0,0,0,0,1.16648898983118E-320
3.2,0,0,0,0,0,1.16648898983118E-320
3.4,0,0,0,0,0,1.16648898983118E-320
3.6,0,0,0,0,0,1.16648898983118E-320
3.8,0,0,0,0,0,1.16648898983118E-320
4,0,0,0,0,0,1.16648898983118E-320
4.2,0,0,0,0,0,1.16648898983118E-320
4.4,0,0,0,0,0,1.16648898983118E-320
4.6,0,0,0,0,0,1.16648898983118E-320
4.8,0,0,0,0,0,1.16648898983118E-320
5,0,0,0,0,0,1.16648898983118E-320
5.2,0,0,0,0,0,1.16648898983118E-320
5.4,0,0,0,0,0,1.16648898983118E-320
5.6,0,0,0,0,0,1.16648898983118E-320
5.8,0,0,0,0,0,1.16648898983118E-320
6,0,0,0,0,0,1.16648898983118E-320
6.2,0,0,0,0,0,1.16648898983118E-320
6.4,0,0,0,0,0,1.16648898983118E-320
6.6,0,0,0,0,0,1.16648898983118E-320
