Name,Lab 2 Scope,
File,C:\Users\MECH467_TA\Desktop\2025w1_Mech467_Lab2\Lab2_S2\Gyan\step_ll.csv,
Starttime of export,134076222752598000,Friday, November 14, 2025,11:31:15.259
Endtime of export,134076222852598000,Friday, November 14, 2025,11:31:25.259


TriggerGroup,Count,ReleaseTime,Comment,
Start traj,0,0,,
Timed Stop,0,10000,,

Name,RefTraj [mm],Enc1_ActPos [mm],Enc2_ActPos [mm],Enc1_ActVelo [mm/s],Enc2_ActVelo [mm/s],Vout [V]

0,0,0,0,0,0,-4.1707387462206944E-159
0.2,0,0,0,0,0,-3.1148555193293787E-159
0.4,0,0,0,0,0,-2.3262845017776368E-159
0.6,0,0,0,0,0,-1.7373517165174752E-159
0.8,0,0,0,0,0,-1.2975158389181141E-159
1,0,0,0,0,0,-9.69030816407199E-160
1.2,0,0,0,0,0,-7.237065590889206E-160
1.4,0,0,0,0,0,-5.404897086866621E-160
1.6,0,0,0,0,0,-4.0365687104446907E-160
1.8,0,0,0,0,0,-3.0146525812181861E-160
2,0,0,0,0,0,-2.2514493960996575E-160
2.2,0,0,0,0,0,-1.681462207213668E-160
2.4,0,0,0,0,0,-1.2557755724760303E-160
2.6,0,0,0,0,0,-9.3785770602640227E-161
2.8,0,0,0,0,0,-7.004253753868066E-161
3,0,0,0,0,0,-5.2310249554204536E-161
3.2,0,0,0,0,0,-3.9067148401241358E-161
3.4,0,0,0,0,0,-2.9176731084471389E-161
3.6,0,0,0,0,0,-2.1790216885871032E-161
3.8,0,0,0,0,0,-1.6273706281853046E-161
4,0,0,0,0,0,-1.2153780640877589E-161
4.2,0,0,0,0,0,-9.0768741495161724E-162
4.4,0,0,0,0,0,-6.7789313268538489E-162
4.6,0,0,0,0,0,-5.0627461808148993E-162
4.8,0,0,0,0,0,-3.7810382869377092E-162
5,0,0,0,0,0,-2.8238134041686685E-162
5.2,0,0,0,0,0,-2.1089239347588787E-162
5.4,0,0,0,0,0,-1.5750191411490356E-162
5.6,0,0,0,0,0,-1.17628011807333E-162
5.8,0,0,0,0,0,-8.7848768311805653E-163
6,0,0,0,0,0,-6.5608573802487751E-163
6.2,0,0,0,0,0,-4.8998808282870588E-163
6.4,0,0,0,0,0,-3.6594046692270431E-163
6.6,0,0,0,0,0,-2.7329731073974116E-163
6.8,0,0,0,0,0,-2.0410811814740159E-163
7,0,0,0,0,0,-1.5243517684426193E-163
7.2,0,0,0,0,0,-1.1384399283305636E-163
7.4,0,0,0,0,0,-8.5022728824687647E-164
7.6,0,0,0,0,0,-6.3497987350083171E-164
7.8,0,0,0,0,0,-4.7422547514619069E-164
8,0,0,0,0,0,-3.5416839283069931E-164
8.2,0,0,0,0,0,-2.6450550856976273E-164
8.4,0,0,0,0,0,-1.9754208867868353E-164
8.6,0,0,0,0,0,-1.4753143331699148E-164
8.8,0,0,0,0,0,-1.1018170336332274E-164
9,0,0,0,0,0,-8.2287601246025826E-165
9.2,0,0,0,0,0,-6.145529713310789E-165
9.4,0,0,0,0,0,-4.5896994061435E-165
9.6,0,0,0,0,0,-3.4277501893983096E-165
9.8,0,0,0,0,0,-2.5599653313227879E-165
10,0,0,0,0,0,-1.9118728423803098E-165
10.2,0,0,0,0,0,-1.4278544012713704E-165
10.4,0,0,0,0,0,-1.0663722743672257E-165
10.6,0,0,0,0,0,-7.964046099704596E-166
10.8,0,0,0,0,0,-5.9478318972477348E-166
11,0,0,0,0,0,-4.4420516700964089E-166
11.2,0,0,0,0,0,-3.3174816270340264E-166
11.4,0,0,0,0,0,-2.4776128606962978E-166
11.6,0,0,0,0,0,-1.850369098494703E-166
11.8,0,0,0,0,0,-1.3819212254580692E-166
12,0,0,0,0,0,-1.0320677506585579E-166
12.2,0,0,0,0,0,-7.7078477580829E-167
12.4,0,0,0,0,0,-5.7564938952771015E-167
12.6,0,0,0,0,0,-4.29915366862467E-167
12.8,0,0,0,0,0,-3.2107603347956393E-167
13,0,0,0,0,0,-2.3979096171258567E-167
13.2,0,0,0,0,0,-1.7908438912712089E-167
13.4,0,0,0,0,0,-1.3374656909493837E-167
13.6,0,0,0,0,0,-9.9886678184827377E-168
13.8,0,0,0,0,0,-7.459891155575714E-168
14,0,0,0,0,0,-5.5713111161894561E-168
14.2,0,0,0,0,0,-4.1608526057617448E-168
14.4,0,0,0,0,0,-3.1074721992397833E-168
14.6,0,0,0,0,0,-2.3207703766474327E-168
14.8,0,0,0,0,0,-1.7332335724328925E-168
15,0,0,0,0,0,-1.2944402629562106E-168
15.2,0,0,0,0,0,-9.6673386727109378E-169
15.4,0,0,0,0,0,-7.2199111606322185E-169
