Name,Lab 2 Scope,
File,C:\Users\MECH467_TA\Desktop\2025w1_Mech467_Lab2\Lab2_S2\Gyan\step_lli.csv,
Starttime of export,134076223833876000,Friday, November 14, 2025,11:33:03.387
Endtime of export,134076223934000000,Friday, November 14, 2025,11:33:13.400


TriggerGroup,Count,ReleaseTime,Comment,
Start traj,0,0,,
Timed Stop,0,10000,,

Name,RefTraj [mm],Enc1_ActPos [mm],Enc2_ActPos [mm],Enc1_ActVelo [mm/s],Enc2_ActVelo [mm/s],Vout [V]

0,0,0,-0.0005,-0.0010121134908151032,-7.5120345171166632E-05,0.046772373601070671
0.2,0,0,-0.0005,-0.00099226812825010122,-7.3647397226633945E-05,0.046743778305345041
0.4,0,0,-0.0005,-0.00097281189044127569,-7.2203330614347E-05,0.046722422324992907
0.6,0,0,-0.0005,-0.00095373714749144676,-7.0787579033673533E-05,0.046706472921945186
0.8,0,0,-0.0005,-0.00093503641910926149,-6.939958728791523E-05,0.046694561342453866
1,0,0,-0.0005,-0.00091670237167574653,-6.8038811066583552E-05,0.046685665352707129
1.2,0,0,-0.0005,-0.00089872781536837892,-6.6704716731944659E-05,0.04667902151226333
1.4,0,0,-0.0005,-0.000881105701341548,-6.5396781109749658E-05,0.046674059656742095
1.6,0,0,-0.0005,-0.00086382911896230191,-6.41144912840683E-05,0.04667035396717556
1.8,0,0,-0.0005,-0.000846891293100296,-6.2857344396145389E-05,0.046667586426866414
2,0,0,-0.0005,-0.00083028558147087844,-6.1624847447201353E-05,0.04666551952967346
2.2,0,0,-0.0005,-0.000814005472030273,-6.041651710509936E-05,0.046663975897592636
2.4,0,0,-0.0005,-0.00079804458042183617,-5.9231879514803288E-05,0.046662823058443714
2.6,0,0,-0.0005,-0.0007823966474723884,-5.8070470112552244E-05,0.046661962077307106
2.8,0,0,-0.0005,-0.00076705553673763567,-5.6931833443678669E-05,0.04666131906607851
3,0,0,-0.0005,-0.0007520152320957212,-5.5815522983998691E-05,0.046660838842502717
3.2,0,0,-0.0005,-0.000737269835387962,-5.4721100964704594E-05,0.046660480194515741
3.4,0,0,-0.0005,-0.000722813564105845,-5.3648138200690778E-05,0.046660212343487495
3.6,0,0,-0.0005,-0.00070864074912337744,-5.259621392224586E-05,0.046660012302846221
3.8,0,0,-0.0005,-0.00069474583247389947,-5.1564915610044959E-05,0.046659862905405247
