Name,Lab 2 Scope,
File,C:\Users\MECH467_TA\Desktop\2025w1_Mech467_Lab2\Lab2_S2\Ryan\LeadLagIntegrator_ramp.csv,
Starttime of export,134076227926980000,Friday, November 14, 2025,11:39:52.698
Endtime of export,134076228026980000,Friday, November 14, 2025,11:40:02.698


TriggerGroup,Count,ReleaseTime,Comment,
Start traj,0,0,,
Timed Stop,0,10000,,

Name,RefTraj [mm],Enc1_ActPos [mm],Enc2_ActPos [mm],Enc1_ActVelo [mm/s],Enc2_ActVelo [mm/s],Vout [V]

0,0,0,0,0,0,0.07786992080873445
0.2,0,0,0,0,0,0.07786992080873445
0.4,0,0,0,0,0,0.07786992080873445
0.6,0.001,0,0,0,0,0.15668755335687479
0.8,0.002,0,0,0,0,0.218476291760206
1,0.003,0,0,0,0,0.2672714189914317
1.2,0.004,0,0,0,0,0.30615198983067193
1.4,0.005,0,0,0,0,0.33746742522389483
1.6,0.006,0,0,0,0,0.36301041129574863
1.8,0.007,0,0,0,0,0.3841488270323401
2,0.008,0.0001,0,0.00980392156862745,0,0.40192640947993996
2.2,0.0090000000000000011,0.0001,0,0.0096116878123798533,0,0.41713956463120017
2.4,0.01,0.0002,0,0.019227144914097896,0,0.43202254562057796
2.6,0.011000000000000001,0.00030000000000000003,0,0.028654063641272445,0,0.44343447043385353
2.8,0.012,0.0004,0,0.0378961408247769,0,0.44590865437235561
3,0.013000000000000001,0.0005,0,0.046957000808604807,0,0.44927998176887662
3.2,0.014,0.0005,0.0001,0.046036275302553734,0.00980392156862745,0.45333585938691945
3.4,0.015,0.00060000000000000006,0.0001,0.054937524806425234,0.0096116878123798533,0.45791407153417962
3.6,0.016,0.0007,0.0002,0.063664240006299236,0.019227144914097896,0.47077260551068112
3.8,0.017,0.0008,0.00030000000000000003,0.07221984314343062,0.028654063641272445,0.47435060023249775
4,0.018000000000000002,0.0008,0.0004,0.07080376778767708,0.0378961408247769,0.5256304162453409
4.2,0.019,0.00090000000000000008,0.0005,0.079219380183997143,0.046957000808604807,0.52016008627083177
4.4,0.02,0.00090000000000000008,0.00060000000000000006,0.077666059003918764,0.055840196871181191,0.52535124924446652
4.6,0.021000000000000005,0.001,0.0007,0.085947116670508583,0.064549212618805085,0.52307878552333742
4.8,0.022000000000000002,0.001,0.0008,0.084261879088733907,0.0730874633517697,0.53071002653865
5,0.023,0.0011,0.00090000000000000008,0.09241360694973913,0.081458297403695784,0.53029942331377766
5.2,0.024,0.0011,0.001,0.0906015754409207,0.0896649974546037,0.53935132565561883
5.4,0.025,0.0012000000000000001,0.0011,0.098628995530314414,0.097710781818238918,0.54002473415383268
5.6,0.026000000000000002,0.0013000000000000002,0.0012000000000000001,0.10649901522579845,0.10559880570415581,0.63215084689675516
5.8,0.027000000000000003,0.0014,0.0013000000000000002,0.1142147208096063,0.11333216245505472,0.61568554843922785
6,0.028,0.0015,0.0013000000000000002,0.12177913804863363,0.11110996319123011,0.60460542244351734
6.2,0.029,0.0016,0.0014,0.12919523338101335,0.11873525803061773,0.59763436169118478
6.4,0.03,0.0017000000000000001,0.0014,0.13646591507942485,0.11640711571629188,0.5937986540392477
