Name,Lab 2 Scope,
File,C:\Users\MECH467_TA\Desktop\2025w1_Mech467_Lab2\Lab2_S2\Ryan\LeadLag_ramp.csv,
Starttime of export,134076227025396000,Friday, November 14, 2025,11:38:22.539
Endtime of export,134076227125500000,Friday, November 14, 2025,11:38:32.550


TriggerGroup,Count,ReleaseTime,Comment,
Start traj,0,0,,
Timed Stop,0,10000,,

Name,RefTraj [mm],Enc1_ActPos [mm],Enc2_ActPos [mm],Enc1_ActVelo [mm/s],Enc2_ActVelo [mm/s],Vout [V]

0,0,0,0,0,0,6.47868281391627E-320
0.2,0,0,0,0,0,6.47868281391627E-320
0.4,0,0,0,0,0,6.47868281391627E-320
0.6,0.001,0,0,0,0,6.47868281391627E-320
0.8,0.002,0,0,0,0,0.0099045158154630886
1,0.003,0,0,0,0,0.026328995331696747
1.2,0.004,0,0,0,0,0.046821290410064928
1.4,0.005,0,0,0,0,0.069624324370134646
1.6,0.006,0,0,0,0,0.0934970582424764
1.8,0.007,0,0,0,0,0.11757968219640333
2,0.008,0,0,0,0,0.14129232603408148
2.2,0.0090000000000000011,0,0,0,0,0.1642591480612926
2.4,0.01,0,0,0,0,0.18625161557266892
2.6,0.011000000000000001,0,0,0,0,0.20714627797748741
2.8,0.012,0,0,0,0,0.22689346609313643
3,0.013000000000000001,0.0001,0,0.00980392156862745,0,0.2454942128815974
3.2,0.014,0.0001,0,0.0096116878123798533,0,0.26298334635918669
3.4,0.015,0.0002,0,0.019227144914097896,0,0.27153544046357458
3.6,0.016,0.0002,0,0.018850142072644994,0,0.28868592049037473
3.8,0.017,0.0002,0,0.018480531443769602,0,0.2966402508335188
4,0.018000000000000002,0.00030000000000000003,0.0001,0.02792208965075451,0.00980392156862745,0.31303790256431896
4.2,0.019,0.00030000000000000003,0.0001,0.027374597696818145,0.0096116878123798533,0.32804013475270954
4.4,0.02,0.0004,0.0001,0.036641762447860923,0.0094232233454704436,0.33399004219049144
4.6,0.021000000000000005,0.0004,0.0002,0.035923296517510708,0.019042375828892594,0.34853891143931892
4.8,0.022000000000000002,0.0005,0.0002,0.045022839723049712,0.018668995910679012,0.35396948630965119
5,0.023,0.0005,0.00030000000000000003,0.044140038944166383,0.028106858735959819,0.36797047626460555
5.2,0.024,0.00060000000000000006,0.0004,0.0530784695531043,0.037359665427411586,0.37285044178160121
5.4,0.025,0.0007,0.0004,0.061841636816768915,0.036627122968050575,0.386315397147187
5.6,0.026000000000000002,0.0007,0.0005,0.060629055702714617,0.045712865654951543,0.39068501370096964
5.8,0.027000000000000003,0.0007,0.00060000000000000006,0.059440250688935894,0.054620456524462305,0.39579019018981287
6,0.028,0.0008,0.00060000000000000006,0.068078677146015579,0.0535494671808454,0.40930224931300918
6.2,0.029,0.0008,0.0007,0.06674380112354468,0.062303399196907243,0.42148050641714918
6.4,0.03,0.00090000000000000008,0.0007,0.075239020709357535,0.061081763918536508,0.42473163944895176
6.6,0.031000000000000003,0.00090000000000000008,0.0008,0.073763745793487781,0.069688003841702456,0.43674562607718581
6.8,0.032,0.001,0.0008,0.082121319405380172,0.068321572393825941,0.43982614240071505
7,0.033,0.0011,0.00090000000000000008,0.090315019024882523,0.076785855288064656,0.45167035909341235
7.2,0.034,0.0011,0.00090000000000000008,0.088544136298904424,0.075280250282416319,0.45458672583491366
7.4,0.035,0.0012000000000000001,0.001,0.09661189833225925,0.083608088512172857,0.45839366736361242
7.6,0.036000000000000004,0.0012000000000000001,0.001,0.094717547384567891,0.081968714227620448,0.47074956832167847
7.8,0.037000000000000005,0.0013000000000000002,0.001,0.10266426214173323,0.080361484536882785,0.4740191184259579
8,0.038,0.0013000000000000002,0.001,0.10065123739385611,0.078785769153806653,0.48594474593582038
8.2,0.039,0.0014,0.0011,0.1084816052880942,0.087044871719418285,0.48886829883092453
8.4,0.04,0.0014,0.0011,0.10635451498832764,0.085338109528841452,0.50051445697177432
8.6,0.041,0.0015,0.0011,0.11407305391012514,0.083664813263570045,0.50321124646171089
8.8,0.04200000000000001,0.0015,0.0011,0.11183632736286778,0.082024326728990238,0.51467255644463217
9,0.043,0.0016,0.0012000000000000001,0.11944737976751743,0.090219928165676713,0.51721796586555113
9.2,0.044000000000000004,0.0016,0.0012000000000000001,0.11710527428187983,0.088450909966349717,0.52855473174988754
9.4,0.045000000000000005,0.0017000000000000001,0.0012000000000000001,0.12461301400184298,0.086716578398382066,0.53099720931574135
9.6,0.046,0.0017000000000000001,0.0013000000000000002,0.12216962157043429,0.094820174900374574,0.54224852701947857
9.8,0.047,0.0018000000000000002,0.0013000000000000002,0.12957806036317088,0.092960955784680957,0.54461976508314613
10,0.048,0.0018000000000000002,0.0014,0.12703731408154007,0.10094211351439307,0.55581144394949833
10.2,0.049,0.0019,0.0014,0.13435030792307848,0.098962856386659873,0.55813255846446319
10.4,0.05,0.0019,0.0015,0.13171598815988087,0.10682632979084301,0.56928195446962748
10.6,0.051000000000000004,0.002,0.0015,0.13893724329400084,0.1047316958733755,0.57156727612376468
10.8,0.052000000000000005,0.0021000000000000003,0.0016,0.14601690519019692,0.11248205477781911,0.58268627490069669
11,0.053,0.0021000000000000003,0.0017000000000000001,0.1431538286178401,0.12008044586060697,0.58494570418252767
11.2,0.054000000000000006,0.0022,0.0017000000000000001,0.15015081237043146,0.11772592731432055,0.58816082376256729
11.4,0.055000000000000007,0.0023,0.0018000000000000002,0.15701060036316808,0.12522149736698093,0.59998596777935687
11.6,0.056,0.0024000000000000002,0.0019,0.16373588270898834,0.13257009545782442,0.60278130526428342
11.8,0.057,0.0025,0.002,0.17032929677351796,0.13977460339002393,0.60640280147331849
12,0.058,0.0026000000000000003,0.002,0.17679342820933136,0.1370339248921803,0.61065404104982823
12.2,0.059,0.0028,0.0021000000000000003,0.19293473353856011,0.14415090675703954,0.61538523338081008
12.4,0.06,0.0029000000000000002,0.0022,0.19895562111623541,0.15112833995788189,0.620482153923263
12.6,0.061000000000000006,0.0031000000000000003,0.0023,0.21466237364336804,0.15796896074302144,0.61797594409078949
12.8,0.062000000000000006,0.0033,0.0025,0.23006115063075294,0.174479373277472,0.6252666172002268
13,0.063,0.0036000000000000003,0.0026000000000000003,0.25496191238309118,0.18086213066418827,0.62443360886968513
13.2,0.064,0.0038,0.0028,0.26957050233636387,0.19692365751391003,0.62511861102235811
13.4,0.065,0.0041,0.0029000000000000002,0.29369657091800383,0.20286633089599024,0.61907989105616856
13.6,0.066,0.0044,0.0032,0.31734957933137631,0.22830032440783354,0.62350922791080388
13.8,0.067,0.0048000000000000004,0.0034000000000000002,0.35034272483468265,0.24343169059591524,0.62032714783707643
14,0.068,0.0052000000000000006,0.0037,0.38268894591635555,0.26807028489795609,0.61905407247646549
14.2,0.069,0.0056,0.004,0.41440092736897594,0.2922257695078001,0.61135572097288549
14.4,0.07,0.006,0.0043,0.44549110526370189,0.31590761716450988,0.60647147850289151
14.6,0.071000000000000008,0.0064,0.0047,0.47597167182715872,0.34892903643579404,0.6037343823489163
14.8,0.072000000000000008,0.0069000000000000008,0.0052000000000000006,0.5156585017913321,0.39110689846646479,0.60263553193468411
15,0.073,0.0074,0.0057,0.554567158618953,0.43245774359457323,0.60278663156913481
15.2,0.07400000000000001,0.0078000000000000005,0.0062000000000000006,0.58290897903818917,0.47299778783781693,0.59600964628528708
15.4,0.075000000000000011,0.0084000000000000012,0.0067,0.63030292062567561,0.51274292925276166,0.59166317303419724
15.6,0.076,0.0089,0.0073,0.66696364767223082,0.56151267573800157,0.59705296700333133
15.8,0.077,0.0094,0.0078000000000000005,0.70290553693355962,0.59952223111568781,0.58639134295575879
16,0.078,0.01,0.0084000000000000012,0.74794660483682318,0.646590422662439,0.586797546380156
16.2,0.079000000000000015,0.0106,0.0090000000000000011,0.792104514545905,0.69273570849258725,0.58793189475479934
16.4,0.08,0.0111,0.0097,0.8255926613195147,0.74778010636528158,0.58174004511326594
16.6,0.080999999999999989,0.0117,0.0103,0.86822809933285749,0.791941280750276,0.577674970291107
16.8,0.082,0.012400000000000001,0.011000000000000001,0.91983146993417408,0.84504047132380011,0.583114432846549
17,0.083,0.013000000000000001,0.011600000000000001,0.96061908817075892,0.88729457972921577,0.58020745082320246
17.2,0.084000000000000019,0.013600000000000001,0.0122,1.0006069491870184,0.92872017620511349,0.57076700810710168
17.4,0.085,0.0143,0.0129,1.0496146560657043,0.9791374276520719,0.57194000052058946
17.6,0.086,0.015000000000000001,0.0135,1.0976614275153964,1.0187621839726195,0.57349444481124312
17.8,0.087000000000000008,0.015600000000000001,0.014100000000000001,1.1349621838386239,1.057609984286882,0.567458173192736
18,0.088000000000000009,0.016300000000000002,0.0148,1.181335474351592,1.1054999845949822,0.56334685832272946
18.2,0.089,0.017,0.0154,1.2267994846584236,1.1426470437205707,0.56858610255984487
18.4,0.090000000000000011,0.0177,0.016,1.2713720437827683,1.1790657291378144,0.565361425340507
18.6,0.091,0.0183,0.0166,1.3052667095909492,1.2147703226841318,0.56339542386379637
18.8,0.092,0.019,0.0173,1.3483006956774011,1.2595787477295408,0.562389827046446
19,0.093000000000000013,0.019700000000000002,0.0179,1.3904908781150993,1.2937046546368047,0.56999880825208127
19.2,0.094,0.0204,0.018500000000000003,1.4318538020736267,1.3271614261145146,0.56858229365421042
19.4,0.095,0.021,0.019200000000000002,1.4626017667388496,1.3697661040338378,0.5679959581213323
19.6,0.096,0.0217,0.0198,1.5025507517047545,1.4017314745429783,0.5680430728472734
19.8,0.097,0.0224,0.0205,1.5417164232399554,1.4428739946499787,0.57645529097244808
20,0.098,0.023,0.0211,1.5703102188627014,1.4734058771078222,0.57565165800501727
20.2,0.099,0.023700000000000002,0.0218,1.6081472733948055,1.5131430167723747,0.57553295856005793
20.4,0.1,0.024300000000000002,0.0224,1.6354385033282406,1.542297075267034,0.58381864708588527
20.6,0.101,0.025,0.023100000000000002,1.6719985326747455,1.5806834071245433,0.5829184609414666
20.8,0.10200000000000001,0.0256,0.0238,1.6980377771321034,1.6183170658083756,0.59060784544552547
21,0.10300000000000001,0.0263,0.0244,1.7333703697373561,1.6454088880474271,0.58925265627639956
21.2,0.10400000000000001,0.0269,0.0251,1.7582062448405451,1.6817734196543401,0.59659485551558422
21.4,0.10500000000000001,0.027600000000000003,0.0258,1.792359063569162,1.7174249212297452,0.59497474996889466
21.6,0.106,0.028200000000000003,0.0264,1.8160382976168255,1.7425734521860248,0.60211480703529929
21.8,0.10700000000000001,0.028900000000000002,0.027100000000000003,1.8490571545262993,1.7770327962608088,0.60034045839158967
22,0.10800000000000001,0.0296,0.027700000000000002,1.8814285828689208,1.801012545353734,0.60736282118525153
22.2,0.109,0.0302,0.0284,1.9033613557538438,1.8343260248566018,0.60549866644443551
22.4,0.11000000000000001,0.0309,0.029,1.9346679958371016,1.8571823773103939,0.604570739673159
22.6,0.111,0.0316,0.0296,1.9653607802324526,1.8795905659905823,0.61223894863563455
