Name,Lab 2 Scope,
File,C:\Users\MECH467_TA\Desktop\2025w1_Mech467_Lab2\Lab2_S2\Ryan\LeadLag_step.csv,
Starttime of export,134076226552276000,Friday, November 14, 2025,11:37:35.227
Endtime of export,134076226652310000,Friday, November 14, 2025,11:37:45.231


TriggerGroup,Count,ReleaseTime,Comment,
Start traj,0,0,,
Timed Stop,0,10000,,

Name,RefTraj [mm],Enc1_ActPos [mm],Enc2_ActPos [mm],Enc1_ActVelo [mm/s],Enc2_ActVelo [mm/s],Vout [V]

0,0,0,0,-1.3925229839201085E-07,0,1.0831775722892516E-52
0.2,0,0,0,-1.3652186116863807E-07,0,8.2650042245767524E-53
0.4,0,0,0,-1.3384496193003732E-07,0,6.3064724178050094E-53
0.6,0,0,0,-1.3122055091180129E-07,0,4.8120476742493194E-53
0.8,0,0,0,-1.286475989331385E-07,0,3.6717520168442666E-53
1,0,0,0,-1.2612509699327303E-07,0,2.8016686005304587E-53
1.2,0,0,0,-1.2365205587575786E-07,0,2.1377660885564162E-53
1.4,0,0,0,-1.2122750576054692E-07,0,1.6311864467184026E-53
1.6,0,0,0,-1.1885049584367345E-07,0,1.2446493740363164E-53
1.8,0,0,0,-1.1652009396438573E-07,0,9.4970876407510388E-54
2,0,0,0,-1.1423538623959385E-07,0,7.2465929391512659E-54
2.2,0,0,0,-1.1199547670548416E-07,0,5.5293908208689743E-54
2.4,0,0,0,-1.0979948696616094E-07,0,4.2191086358289322E-54
2.6,0,0,0,-1.0764655584917738E-07,0,3.2193198595661514E-54
2.8,0,0,0,-1.0553583906782096E-07,0,2.4564478549296224E-54
3,0,0,0,-1.0346650889002054E-07,0,1.8743512068420339E-54
3.2,0,0,0,-1.0143775381374563E-07,0,1.4301921530879973E-54
3.4,0,0,0,-9.9448778248770223E-08,0,1.0912840599391826E-54
3.6,0,0,0,-9.7498802204676686E-08,0,8.3268594147018188E-55
3.8,0,0,0,-9.5587060984977133E-08,0,6.3536699799383534E-55
4,0,0,0,-9.3712804887232486E-08,0,4.8480609799529611E-55
4.2,0,0,0,-9.1875298909051458E-08,0,3.6992313638503633E-55
4.4,0,0,0,-9.0073822459854365E-08,0,2.8226362539332152E-55
4.6,0,0,0,-8.8307669078288585E-08,0,2.1537651037120738E-55
4.8,0,0,0,-8.6576146155184887E-08,0,1.6433942260551841E-55
5,0,0,0,-8.487857466194597E-08,0,1.2539643146676994E-55
5.2,0,0,0,-8.3214288884260752E-08,0,9.5681637280331555E-56
5.4,0,0,0,-8.1582636161039955E-08,0,7.30082635172198E-56
5.6,0,0,0,-7.9982976628470536E-08,0,5.5707727138731692E-56
5.8,0,0,0,-7.8414682969088756E-08,0,4.2506843930501427E-56
6,0,0,0,-7.68771401657733E-08,0,3.2434132098629048E-56
6.2,0,0,0,-7.5369745260562046E-08,0,2.4748318805115054E-56
6.4,0,0,0,-7.3891907118198079E-08,0,1.8883788282575938E-56
6.6,0,0,0,-7.2443046194311837E-08,0,1.4408956935993961E-56
6.8,0,0,0,-7.1022594308148862E-08,0,1.0994512164431409E-56
7,0,0,0,-6.9629994419753781E-08,0,8.38917752831022E-57
7.2,0,0,0,-6.8264700411523314E-08,0,6.4012207680471342E-57
7.4,0,0,0,-6.6926176874042462E-08,0,4.8843438087942581E-57
7.6,0,0,0,-6.5613898896120063E-08,0,3.7269163659520164E-57
7.8,0,0,0,-6.4327351858941232E-08,0,2.8437608289965617E-57
8,0,0,0,-6.30660312342561E-08,0,2.1698838553006937E-57
8.2,0,0,0,-6.1829442386525585E-08,0,1.6556933682626142E-57
8.4,0,0,0,-6.0617100378946644E-08,0,1.2633489682003832E-57
8.6,0,0,0,-5.942852978328102E-08,0,9.6397717478797E-58
8.8,0,0,0,-5.8263264493412761E-08,0,7.3554656464864046E-58
9,0,0,0,-5.7120847542561528E-08,0,5.61246430845645E-58
9.2,0,0,0,-5.6000830924079929E-08,0,4.2824964628506554E-58
9.4,0,0,0,-5.4902775415764636E-08,0,3.267686874497419E-58
9.6,0,0,0,-5.3826250407612386E-08,0,2.4933534919150918E-58
9.8,0,0,0,-5.2770833732953319E-08,0,1.9025114322195722E-58
10,0,0,0,-5.1736111502895405E-08,0,1.4516793392765453E-58
10.2,0,0,0,-5.07216779440151E-08,0,1.1076794958460842E-58
10.4,0,0,0,-4.9727135239230486E-08,0,8.4519620299156168E-59
10.6,0,0,0,-4.8752093371794589E-08,0,6.4491274256702094E-59
10.8,0,0,0,-4.7796169972347631E-08,0,4.92089817788106E-59
11,0,0,0,-4.6858990168968263E-08,0,3.7548085622694334E-59
11.2,0,0,0,-4.5940186440164959E-08,0,2.8650435001202783E-59
11.4,0,0,0,-4.5039398470749961E-08,0,2.1861232394282689E-59
11.6,0,0,0,-4.4156273010539174E-08,0,1.668084557099295E-59
11.8,0,0,0,-4.329046373582272E-08,0,1.2728038563648647E-59
12,0,0,0,-4.2441631113551684E-08,0,9.71191568126745E-60
12.2,0,0,0,-4.1609442268187923E-08,0,7.4105138610618924E-60
12.4,0,0,0,-4.0793570851164631E-08,0,5.6544679224216331E-60
12.6,0,0,0,-3.99936969129065E-08,0,4.3145466137909136E-60
12.8,0,0,0,-3.9209506777359312E-08,0,3.2921422029399856E-60
13,0,0,0,-3.8440692918979715E-08,0,2.5120137188309839E-60
13.2,0,0,0,-3.7686953842136971E-08,0,1.9167498044160585E-60
13.4,0,0,0,-3.6947993962879382E-08,0,1.4625436896255231E-60
13.6,0,0,0,-3.6223523493019E-08,0,1.1159693555910388E-60
13.8,0,0,0,-3.5513258326489211E-08,0,8.5152164099600576E-61
14,0,0,0,-3.48169199279306E-08,0,6.49739261613066E-61
14.2,0,0,0,-3.4134235223461372E-08,0,4.9577261194172325E-61
14.4,0,0,0,-3.3464936493589579E-08,0,3.7829095034415844E-61
14.6,0,0,0,-3.2808761268225079E-08,0,2.8864854504933412E-61
14.8,0,0,0,-3.2165452223750075E-08,0,2.2024841589072411E-61
15,0,0,0,-3.1534757082107916E-08,0,1.6805684814410698E-61
