Name,Lab 2 Scope,
File,C:\Users\MECH467_TA\Desktop\2025w1_Mech467_Lab2\Lab2_S2\Ryan\proportional_ramp.csv,
Starttime of export,134076225794518000,Friday, November 14, 2025,11:36:19.451
Endtime of export,134076225869108000,Friday, November 14, 2025,11:36:26.910


TriggerGroup,Count,ReleaseTime,Comment,
Start traj,0,0,,

Name,RefTraj [mm],Enc1_ActPos [mm],Enc2_ActPos [mm],Enc1_ActVelo [mm/s],Enc2_ActVelo [mm/s],Vout [V]

0,0,0,0.0001,0,0,1.16648898983118E-320
0.2,0,0,0.0001,0,0,1.16648898983118E-320
0.4,0,0,0.0001,0,0,1.16648898983118E-320
0.6,0.001,0,0.0001,0,0,1.16648898983118E-320
0.8,0.002,0,0.0001,0,0,0.13325274649577465
1,0.003,0,0.0001,0,0,0.13354780249965362
1.2,0.004,0,0.0001,0,0,0.13396319959725131
1.4,0.005,0,0.0001,0,0,0.13448381528072967
1.6,0.006,0,0.0001,0,0,0.13509642739263172
1.8,0.007,0,0.0001,0,0,0.13578947532080979
2,0.008,0,0.0001,0,0,0.13655285120248395
2.2,0.0090000000000000011,0,0.0001,0,0,0.13737771736637239
2.4,0.01,0.0001,0.0001,0.00980392156862745,0,0.13825634671572021
2.6,0.011000000000000001,0.0002,0.0001,0.019415609381007302,0,0.13918198316938854
2.8,0.012,0.0002,0.0001,0.019034911157850297,0,0.1400234496404334
3,0.013000000000000001,0.0002,0.0001,0.018661677605735585,0,0.14090085134834862
3.2,0.014,0.0002,0.0001,0.018295762358564296,0,0.141934942538088
3.4,0.015,0.00030000000000000003,0.0002,0.027740943488788528,0.00980392156862745,0.14299650492112034
3.6,0.016,0.00030000000000000003,0.0002,0.027197003420380908,0.0096116878123798533,0.14408208636548431
3.8,0.017,0.00030000000000000003,0.00030000000000000003,0.026663728843510693,0.019227144914097896,0.14506339854691486
4,0.018000000000000002,0.00030000000000000003,0.00030000000000000003,0.026140910630892834,0.018850142072644994,0.14618834243496048
4.2,0.019,0.00030000000000000003,0.00030000000000000003,0.025628343755777286,0.018480531443769602,0.14732934062951678
4.4,0.02,0.00030000000000000003,0.0004,0.025125827211546357,0.02792208965075451,0.14848437568692804
4.6,0.021000000000000005,0.00030000000000000003,0.0004,0.024633163932888585,0.027374597696818145,0.14965168368298532
4.8,0.022000000000000002,0.00030000000000000003,0.0004,0.024150160718518221,0.026837840879233476,0.15082972235473308
5,0.023,0.00030000000000000003,0.0005,0.02367662815541002,0.036115530273758308,0.1520171432456946
5.2,0.024,0.00030000000000000003,0.0005,0.023212380544519625,0.035407382621331675,0.15321276735143166
5.4,0.025,0.0004,0.0005,0.032561157396587867,0.034713120216991834,0.15441556382557325
5.6,0.026000000000000002,0.0004,0.0005,0.0319227033299881,0.034032470800972388,0.15562463136172386
5.8,0.027000000000000003,0.0004,0.0005,0.031296767970576574,0.033365167451933714,0.15671391191498996
6,0.028,0.0004,0.0005,0.030683105853506445,0.032710948482287956,0.15793325646911996
6.2,0.029,0.0004,0.0005,0.030081476326967102,0.032069557335576426,0.15915679259219803
6.4,0.03,0.0004,0.0005,0.029491643457810884,0.031440742485859242,0.16038399355613567
6.6,0.031000000000000003,0.0004,0.0005,0.028913375939030279,0.030824257339077687,0.16161439882344797
