Name,Lab 2 Scope,
File,C:\Users\MECH467_TA\Desktop\2025w1_Mech467_Lab2\Lab2_S2\Ryan\proportional_step.csv,
Starttime of export,134076224958436000,Friday, November 14, 2025,11:34:55.843
Endtime of export,134076225058500000,Friday, November 14, 2025,11:35:05.850


TriggerGroup,Count,ReleaseTime,Comment,
Start traj,0,0,,
Timed Stop,0,10000,,

Name,RefTraj [mm],Enc1_ActPos [mm],Enc2_ActPos [mm],Enc1_ActVelo [mm/s],Enc2_ActVelo [mm/s],Vout [V]

0,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
0.2,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
0.4,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
0.6,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
0.8,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
1,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
1.2,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
1.4,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
1.6,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
1.8,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
2,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
2.2,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
2.4,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
2.6,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
2.8,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
3,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
3.2,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
3.4,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
3.6,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
3.8,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
4,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
4.2,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
4.4,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
4.6,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
4.8,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
5,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
5.2,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
5.4,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
5.6,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
5.8,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
6,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
6.2,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
6.4,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
6.6,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
6.8,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
7,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
7.2,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
7.4,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
7.6,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
7.8,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
8,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
8.2,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
8.4,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
8.6,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
8.8,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
9,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
9.2,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
9.4,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
9.6,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
9.8,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
10,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
10.2,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
10.4,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
10.6,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
10.8,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
11,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
11.2,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
11.4,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
11.6,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
11.8,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
12,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
12.2,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
12.4,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
12.6,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
12.8,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
13,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
13.2,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
13.4,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
13.6,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
13.8,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
14,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
14.2,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
14.4,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
14.6,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
14.8,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
15,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
15.2,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
15.4,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
15.6,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
15.8,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
16,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
16.2,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
16.4,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
16.6,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
16.8,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
17,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
17.2,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
17.4,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
17.6,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
17.8,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
18,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
18.2,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
18.4,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
18.6,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
18.8,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
19,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
19.2,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
19.4,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
19.6,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
19.8,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
20,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
20.2,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
20.4,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
20.6,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
20.8,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
21,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
21.2,0,-0.0002,-0.00090000000000000008,0,0,0.00025054
