Time,X_Traj,Y_Traj,X_ActPos,Y_ActPos,X_ActVelo,Y_ActVelo,XY Position X,XY Position Y
0,0,0,-0.0001,0,-0.001357859,0,-0.0001,0
0.1,0,0,-0.0001,0,-0.001344415,0,-0.0001,0
0.2,4.00E-06,3.00E-06,-0.0001,0,-0.001331104,0,-0.0001,0
0.3,1.60E-05,1.20E-05,-0.0001,0,-0.001317925,0,-0.0001,0
0.4,3.60E-05,2.70E-05,-0.0001,0,-0.001304876,0,-0.0001,0
0.5,6.40E-05,4.80E-05,-0.0001,0,-0.001291956,0,-0.0001,0
0.6,0.0001,7.50E-05,-0.0001,0,-0.001279165,0,-0.0001,0
0.7,0.000144,0.000108,-0.0001,0,-0.0012665,0,-0.0001,0
0.8,0.000196,0.000147,-0.0001,0,-0.00125396,0,-0.0001,0
0.9,0.000256,0.000192,-0.0001,0,-0.001241545,0,-0.0001,0
1,0.000324,0.000243,-0.0001,0,-0.001229252,0,-0.0001,0
1.1,0.0004,0.0003,-0.0001,0,-0.001217081,0,-0.0001,0
1.2,0.000484,0.000363,-0.0001,0,-0.001205031,0,-0.0001,0
1.3,0.000576,0.000432,-0.0001,0,-0.0011931,0,-0.0001,0
1.4,0.000676,0.000507,-0.0001,0,-0.001181287,0,-0.0001,0
1.5,0.000784,0.000588,-0.0001,0,-0.001169591,0,-0.0001,0
1.6,0.0009,0.000675,-0.0001,0,-0.001158011,0,-0.0001,0
1.7,0.001024,0.000768,-0.0001,0,-0.001146546,0,-0.0001,0
1.8,0.001156,0.000867,0,0,0.008765796,0,0,0
1.9,0.001296,0.000972,0,0,0.008679006,0,0,0
2,0.001444,0.001083,0,0,0.008593076,0,0,0
2.1,0.0016,0.0012,0,0,0.008507996,0,0,0
2.2,0.001764,0.001323,0,0,0.008423758,0,0,0
2.3,0.001936,0.001452,0,0,0.008340355,0,0,0
2.4,0.002116,0.001587,0,0,0.008257777,0,0,0
2.5,0.002304,0.001728,0,0,0.008176017,0,0,0
2.6,0.0025,0.001875,0,0,0.008095066,0,0,0
2.7,0.002704,0.002028,0,0,0.008014917,0,0,0
2.8,0.002916,0.002187,0,0,0.007935561,0,0,0
2.9,0.003136,0.002352,0,0,0.007856991,0,0,0
3,0.003364,0.002523,0,0,0.007779199,0,0,0
3.1,0.0036,0.0027,0,0,0.007702177,0,0,0
3.2,0.003844,0.002883,0,0,0.007625918,0,0,0
3.3,0.004096,0.003072,0,0,0.007550414,0,0,0
3.4,0.004356,0.003267,0,0,0.007475658,0,0,0
3.5,0.004624,0.003468,0,0,0.007401641,0,0,0
3.6,0.0049,0.003675,0,0,0.007328358,0,0,0
3.7,0.005184,0.003888,0,0,0.0072558,0,0,0
3.8,0.005476,0.004107,0,0,0.00718396,0,0,0
3.9,0.005776,0.004332,0,0,0.007112832,0,0,0
